Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,114.559998,115.410004,109.029999,110.300003,110.300003,3871844
2020-08-07,107.199997,107.389999,100.279999,101.750000,101.750000,6637368
2020-08-10,102.809998,102.809998,96.699997,97.000000,97.000000,7267486
2020-08-11,97.099998,100.500000,93.370003,98.160004,98.160004,8324166
2020-08-12,98.610001,100.410004,97.230003,98.449997,98.449997,3193307
2020-08-13,99.440002,102.120003,98.309998,100.889999,100.889999,3254917
2020-08-14,103.209999,104.360001,100.910698,101.250000,101.250000,3416024
2020-08-17,102.010002,105.500000,101.750000,105.339996,105.339996,2817431
2020-08-18,106.519997,107.650002,105.623299,107.099998,107.099998,2551599
2020-08-19,107.650002,109.690002,105.699997,108.150002,108.150002,2234737
2020-08-20,107.550003,112.650002,106.820000,112.489998,112.489998,2803516
2020-08-21,112.000000,113.529999,110.870003,112.019997,112.019997,2348640
2020-08-24,113.400002,113.656097,108.260002,111.245003,111.245003,2810981
2020-08-25,110.300003,114.449997,109.349998,113.570000,113.570000,2817384
2020-08-26,115.010002,119.942902,114.260002,117.110001,117.110001,4861880
2020-08-27,117.400002,118.269997,113.779999,117.129997,117.129997,3181375
2020-08-28,118.259804,121.000000,117.419998,118.639999,118.639999,3602817
2020-08-31,120.000000,126.549896,120.000000,125.730003,125.730003,8674423
2020-09-01,134.440002,144.679993,130.000000,143.690002,143.690002,16047964
2020-09-02,152.039993,153.100006,130.979996,142.070007,142.070007,32009783
2020-09-03,131.000000,138.789993,127.000000,129.250000,129.250000,21225913
2020-09-04,125.279999,129.949997,115.250000,125.190002,125.190002,10846622
2020-09-08,118.860001,128.929993,118.000000,125.629997,125.629997,6962851
2020-09-09,129.610992,129.695908,124.000000,128.179993,128.179993,5758320
2020-09-10,130.279999,134.050003,128.399994,129.350006,129.350006,6511669
2020-09-11,131.119995,131.664200,122.849998,126.279999,126.279999,4284125
2020-09-14,127.779999,129.899994,127.150002,128.500000,128.500000,4223127
2020-09-15,130.651398,132.190002,127.349998,131.449997,131.449997,5177527
2020-09-16,132.000000,133.839996,129.520004,131.149994,131.149994,3653595
2020-09-17,127.480003,129.229996,124.800003,128.580002,128.580002,4945102
2020-09-18,130.220001,132.100006,126.720001,131.429993,131.429993,11713148
2020-09-21,127.250000,138.550003,125.449997,138.130005,138.130005,7614075
2020-09-22,138.520004,142.679993,134.199997,142.679993,142.679993,5846754
2020-09-23,141.000000,143.699997,136.910004,138.600006,138.600006,3947458
2020-09-24,137.119995,137.899994,132.399994,133.899994,133.899994,4402909
2020-09-25,135.800003,138.600006,134.650101,136.389999,136.389999,3437433
2020-09-28,137.820007,141.669998,136.300003,137.429993,137.429993,4233555
